edad;trabajo;estado;educacion;presCasa;prestamo;contacto;mes;dia;duracion;deposito
51;technician;single;university.degree;no;no;cellular;jun;fri;151;0
30;blue-collar;single;basic.4y;yes;no;telephone;jun;tue;256;0
48;technician;married;university.degree;no;no;cellular;aug;thu;42;0
28;blue-collar;single;basic.9y;yes;no;telephone;jun;wed;525;0
36;blue-collar;married;basic.6y;yes;no;telephone;may;wed;57;0
46;management;divorced;high.school;no;no;cellular;nov;wed;499;0
31;technician;single;unknown;yes;no;cellular;may;wed;84;0
20;student;single;unknown;no;no;cellular;oct;mon;137;0
35;services;married;high.school;yes;no;cellular;may;tue;31;0
38;blue-collar;married;basic.9y;unknown;unknown;telephone;jun;fri;430;0
76;retired;married;university.degree;no;no;cellular;aug;thu;126;0
45;entrepreneur;divorced;professional.course;yes;no;cellular;jul;tue;211;0
32;housemaid;married;basic.4y;yes;yes;cellular;may;fri;340;0
39;management;single;university.degree;no;no;cellular;may;thu;412;0
32;admin.;married;university.degree;no;no;telephone;nov;thu;132;0
29;admin.;single;basic.9y;no;no;cellular;may;mon;79;0
44;services;married;professional.course;no;no;cellular;aug;mon;341;0
32;services;married;high.school;no;yes;cellular;jul;fri;157;0
56;retired;married;university.degree;yes;no;cellular;jun;wed;252;0
33;blue-collar;married;basic.9y;yes;no;cellular;may;thu;263;0
39;management;married;high.school;no;no;cellular;aug;fri;215;0
24;technician;married;university.degree;yes;yes;cellular;sep;tue;89;1
33;admin.;single;university.degree;yes;no;cellular;may;thu;143;0
58;entrepreneur;divorced;university.degree;no;no;telephone;jun;thu;40;0
29;admin.;single;university.degree;yes;no;telephone;jun;fri;10;0
31;admin.;married;university.degree;yes;no;cellular;aug;thu;113;0
27;admin.;married;university.degree;no;no;telephone;may;wed;191;0
60;admin.;divorced;professional.course;yes;no;cellular;sep;wed;481;1
55;entrepreneur;married;professional.course;yes;yes;cellular;oct;mon;233;0
37;blue-collar;married;basic.9y;yes;no;cellular;may;wed;204;0
52;admin.;married;unknown;yes;no;telephone;apr;wed;403;1
46;services;married;high.school;yes;no;cellular;apr;mon;180;0
42;blue-collar;divorced;basic.6y;yes;no;cellular;may;wed;16;0
35;admin.;single;university.degree;yes;no;cellular;jul;mon;447;0
49;technician;divorced;unknown;yes;yes;cellular;oct;thu;81;0
29;services;divorced;high.school;no;yes;telephone;jun;mon;361;0
32;blue-collar;married;basic.9y;no;no;cellular;nov;mon;1091;1
37;self-employed;married;university.degree;no;no;cellular;may;fri;395;0
39;technician;single;professional.course;no;no;telephone;jun;mon;432;1
51;services;married;high.school;yes;no;telephone;jul;mon;596;1
28;admin.;single;high.school;yes;no;cellular;may;tue;59;0
34;management;married;university.degree;yes;no;cellular;may;wed;77;0
31;technician;single;high.school;yes;yes;cellular;aug;tue;768;1
31;admin.;married;university.degree;yes;no;cellular;aug;thu;96;0
31;admin.;single;university.degree;yes;no;telephone;jun;wed;357;0
38;self-employed;single;university.degree;no;no;telephone;may;thu;459;0
33;unemployed;married;basic.9y;no;no;telephone;jun;fri;11;0
32;technician;single;university.degree;no;no;cellular;aug;tue;264;0
54;technician;married;professional.course;yes;no;cellular;apr;mon;698;0
41;admin.;divorced;high.school;yes;no;telephone;jun;tue;204;0
59;services;married;basic.4y;no;no;cellular;aug;thu;93;0
57;retired;married;university.degree;yes;no;cellular;apr;thu;374;0
38;entrepreneur;divorced;university.degree;yes;no;cellular;nov;thu;252;0
46;admin.;married;university.degree;yes;no;telephone;may;tue;158;0
37;unemployed;single;university.degree;yes;yes;cellular;nov;tue;95;0
47;services;single;basic.9y;unknown;unknown;telephone;jun;thu;835;1
45;admin.;single;university.degree;no;no;cellular;aug;thu;505;1
36;blue-collar;married;basic.6y;yes;no;telephone;jul;wed;16;0
40;unemployed;single;high.school;yes;no;cellular;jul;mon;300;0
38;blue-collar;married;basic.9y;no;no;cellular;nov;tue;180;0
44;blue-collar;married;high.school;no;no;telephone;jun;tue;390;0
25;self-employed;married;university.degree;yes;no;telephone;may;fri;274;0
30;blue-collar;single;basic.6y;yes;no;telephone;jul;tue;135;0
43;management;married;professional.course;no;no;cellular;nov;tue;257;0
58;retired;married;basic.6y;no;no;telephone;may;mon;268;0
31;technician;married;professional.course;yes;no;telephone;may;wed;157;0
53;management;married;university.degree;no;no;cellular;jul;tue;477;0
52;admin.;married;unknown;no;no;cellular;aug;tue;91;0
37;management;married;university.degree;no;yes;cellular;apr;fri;76;0
58;admin.;married;high.school;yes;no;cellular;jul;tue;103;0
37;services;married;high.school;yes;yes;cellular;may;thu;436;0
38;admin.;single;unknown;yes;no;cellular;may;fri;191;0
33;services;single;basic.9y;yes;no;cellular;apr;thu;483;0
45;services;married;high.school;yes;no;cellular;may;fri;250;0
44;entrepreneur;married;professional.course;no;no;telephone;may;mon;259;0
38;blue-collar;married;basic.6y;yes;no;telephone;jul;thu;389;0
34;blue-collar;married;basic.9y;no;no;telephone;jun;tue;7;0
47;management;married;university.degree;yes;no;cellular;jul;wed;123;0
59;admin.;married;university.degree;yes;yes;cellular;jul;wed;92;0
51;blue-collar;married;basic.4y;yes;yes;cellular;aug;thu;297;0
31;blue-collar;married;basic.6y;yes;no;telephone;jun;wed;406;0
56;management;married;university.degree;yes;yes;cellular;nov;wed;104;0
39;admin.;married;university.degree;no;no;telephone;jun;mon;135;0
41;entrepreneur;married;university.degree;yes;no;cellular;nov;tue;854;1
41;management;divorced;basic.6y;yes;no;cellular;nov;thu;147;0
53;services;married;high.school;no;no;telephone;may;thu;203;0
35;blue-collar;married;high.school;no;yes;cellular;jul;mon;149;0
58;retired;married;basic.9y;no;yes;cellular;may;wed;144;0
25;self-employed;married;professional.course;yes;no;telephone;jun;wed;394;0
35;blue-collar;divorced;basic.9y;yes;no;cellular;may;tue;523;0
28;services;single;high.school;no;no;cellular;jul;wed;73;0
55;blue-collar;married;professional.course;yes;yes;cellular;may;fri;197;0
54;entrepreneur;married;basic.4y;no;yes;telephone;may;thu;108;0
45;technician;divorced;basic.9y;no;no;cellular;jul;wed;80;0
32;blue-collar;married;basic.9y;yes;no;cellular;apr;thu;114;0
50;admin.;married;basic.9y;yes;no;cellular;aug;thu;122;0
75;retired;married;basic.4y;no;no;cellular;apr;tue;109;1
33;self-employed;divorced;unknown;no;no;telephone;may;wed;1161;0
29;management;married;university.degree;no;yes;cellular;aug;wed;181;0
45;management;married;university.degree;yes;no;cellular;may;thu;239;0
38;admin.;divorced;university.degree;no;no;cellular;apr;mon;360;1
24;services;single;professional.course;yes;no;telephone;may;mon;314;0
41;technician;married;professional.course;yes;no;cellular;aug;mon;984;0
58;retired;divorced;high.school;yes;no;cellular;jun;tue;663;1
34;admin.;married;university.degree;no;yes;telephone;may;wed;157;0
34;admin.;married;university.degree;no;no;cellular;nov;mon;141;0
37;technician;divorced;professional.course;no;no;telephone;may;wed;374;0
53;blue-collar;divorced;basic.4y;no;no;telephone;jun;wed;706;1
54;technician;divorced;professional.course;yes;yes;cellular;jul;tue;797;0
32;technician;divorced;professional.course;yes;no;cellular;nov;tue;250;0
42;admin.;married;high.school;yes;no;cellular;jul;fri;311;0
28;technician;single;professional.course;yes;no;cellular;aug;thu;63;1
33;services;single;high.school;yes;no;telephone;may;fri;111;0
41;blue-collar;married;basic.9y;yes;no;cellular;apr;mon;148;0
31;services;married;high.school;no;yes;cellular;nov;thu;49;0
40;technician;married;basic.9y;no;yes;telephone;may;thu;171;0
53;unknown;married;basic.9y;no;yes;cellular;nov;wed;242;0
40;admin.;divorced;university.degree;yes;no;cellular;aug;mon;257;0
82;housemaid;married;basic.4y;no;no;telephone;sep;tue;279;1
28;blue-collar;married;basic.4y;yes;no;cellular;jul;mon;113;0
30;admin.;married;high.school;yes;no;cellular;nov;wed;246;0
31;unemployed;single;university.degree;yes;no;cellular;jul;tue;309;1
32;technician;single;university.degree;yes;no;cellular;aug;wed;168;0
54;blue-collar;married;basic.4y;yes;no;cellular;aug;tue;153;0
31;blue-collar;married;basic.9y;no;no;cellular;jul;wed;152;0
50;services;married;unknown;yes;no;cellular;aug;thu;90;0
47;technician;single;unknown;no;no;cellular;jul;tue;117;0
31;admin.;single;high.school;yes;yes;cellular;may;wed;149;0
32;unemployed;married;high.school;yes;no;cellular;nov;thu;640;0
46;admin.;single;high.school;yes;no;cellular;nov;mon;199;0
47;admin.;single;high.school;no;no;cellular;may;mon;1114;0
32;admin.;single;high.school;no;no;cellular;nov;mon;74;0
52;services;divorced;high.school;no;no;cellular;nov;mon;190;0
45;admin.;married;high.school;yes;no;cellular;oct;fri;738;1
32;admin.;married;university.degree;yes;no;cellular;may;fri;374;0
71;blue-collar;divorced;basic.4y;no;no;cellular;aug;thu;224;0
49;services;married;high.school;yes;no;telephone;may;fri;344;0
46;admin.;married;high.school;yes;yes;telephone;jun;wed;148;0
46;blue-collar;married;professional.course;no;no;cellular;nov;fri;383;0
38;admin.;married;university.degree;yes;no;cellular;aug;tue;35;0
57;services;married;professional.course;no;no;cellular;aug;mon;153;0
41;services;single;high.school;unknown;unknown;cellular;may;mon;772;0
44;technician;married;professional.course;no;no;telephone;may;fri;124;0
47;technician;married;university.degree;yes;no;cellular;aug;wed;345;0
40;blue-collar;married;basic.9y;yes;yes;telephone;may;wed;951;0
57;retired;single;professional.course;yes;no;telephone;may;mon;188;0
27;admin.;single;unknown;no;no;cellular;mar;tue;128;1
52;blue-collar;married;basic.9y;no;no;cellular;aug;fri;809;1
34;management;married;university.degree;yes;yes;telephone;jun;wed;192;0
42;entrepreneur;married;university.degree;yes;no;telephone;may;tue;154;0
51;technician;married;unknown;yes;no;telephone;jun;fri;17;0
45;management;married;basic.4y;yes;no;telephone;may;fri;100;0
56;retired;married;high.school;no;no;cellular;may;mon;317;0
41;management;married;university.degree;yes;no;cellular;may;thu;93;0
44;admin.;married;high.school;yes;no;cellular;aug;fri;111;0
50;blue-collar;married;basic.6y;yes;no;cellular;may;mon;293;1
54;self-employed;married;high.school;no;no;cellular;aug;tue;119;0
51;blue-collar;married;basic.6y;no;no;cellular;aug;fri;393;0
30;blue-collar;single;basic.9y;no;no;cellular;nov;wed;30;0
42;housemaid;married;basic.4y;yes;no;telephone;jun;fri;38;0
41;technician;married;professional.course;yes;no;telephone;jun;mon;442;0
47;services;single;basic.9y;no;no;cellular;nov;tue;187;0
35;blue-collar;married;basic.6y;yes;no;cellular;apr;fri;113;0
58;blue-collar;married;basic.9y;no;no;cellular;nov;tue;64;0
50;blue-collar;divorced;high.school;yes;yes;cellular;jul;mon;629;1
41;technician;married;professional.course;no;no;telephone;may;tue;92;0
38;technician;married;university.degree;yes;no;cellular;may;wed;147;0
32;student;single;university.degree;no;no;cellular;nov;thu;151;0
21;student;single;high.school;no;no;cellular;aug;tue;259;0
46;admin.;divorced;basic.9y;no;no;telephone;may;wed;423;0
42;self-employed;married;university.degree;yes;no;cellular;nov;fri;888;0
55;services;married;basic.9y;no;no;cellular;aug;wed;76;0
29;admin.;single;high.school;yes;no;telephone;nov;mon;207;0
30;blue-collar;single;basic.6y;yes;no;telephone;jun;wed;100;0
53;management;married;basic.4y;yes;no;cellular;nov;wed;63;0
35;management;married;university.degree;yes;no;cellular;nov;wed;265;0
46;services;married;professional.course;yes;no;telephone;may;tue;273;0
30;blue-collar;married;unknown;no;no;telephone;may;wed;85;0
43;entrepreneur;married;university.degree;yes;no;cellular;jul;tue;261;0
42;services;married;high.school;yes;no;cellular;jul;mon;136;0
32;technician;married;professional.course;no;no;cellular;jul;tue;711;0
41;blue-collar;divorced;basic.9y;yes;no;cellular;may;fri;88;0
28;admin.;married;university.degree;no;no;cellular;may;tue;72;0
24;services;single;university.degree;no;no;cellular;jul;thu;113;0
43;management;married;university.degree;yes;yes;cellular;apr;fri;307;0
30;admin.;single;university.degree;yes;no;cellular;aug;mon;39;0
55;blue-collar;married;basic.9y;no;no;cellular;nov;tue;63;0
51;retired;married;basic.9y;no;no;cellular;jul;fri;64;0
22;student;single;high.school;no;yes;cellular;jul;fri;154;0
32;entrepreneur;single;university.degree;no;yes;cellular;nov;thu;126;0
43;admin.;married;professional.course;no;no;cellular;jul;thu;127;0
76;retired;single;basic.4y;no;no;cellular;nov;mon;347;1
33;admin.;single;university.degree;yes;no;cellular;aug;thu;686;1
41;services;married;high.school;no;no;cellular;mar;wed;377;1
32;technician;married;professional.course;yes;no;cellular;jul;thu;255;1
54;admin.;married;professional.course;no;no;cellular;nov;tue;1868;1
58;blue-collar;married;basic.9y;yes;no;cellular;aug;mon;846;1
59;technician;married;professional.course;no;no;cellular;jun;thu;1207;1
26;technician;single;university.degree;yes;no;cellular;jul;fri;806;1
57;retired;married;basic.9y;no;no;cellular;aug;tue;388;1
36;blue-collar;married;basic.9y;no;no;cellular;may;wed;951;1
29;admin.;single;university.degree;yes;no;cellular;mar;mon;215;1
81;retired;married;basic.4y;no;no;cellular;may;mon;617;1
34;admin.;married;high.school;yes;no;cellular;jun;wed;238;1
48;technician;married;professional.course;yes;no;cellular;aug;fri;336;1
30;unemployed;married;high.school;no;no;cellular;may;mon;417;1
45;blue-collar;married;high.school;yes;yes;cellular;nov;mon;449;1
61;blue-collar;married;basic.6y;yes;yes;cellular;may;fri;403;1
67;housemaid;divorced;professional.course;yes;no;cellular;nov;mon;655;1
73;retired;married;university.degree;yes;no;cellular;mar;fri;179;1
44;self-employed;single;professional.course;yes;no;cellular;may;mon;775;1
30;blue-collar;married;basic.9y;no;no;cellular;jul;wed;988;1
18;student;single;unknown;no;no;cellular;sep;thu;385;1
29;technician;married;professional.course;no;no;telephone;may;fri;886;1
31;technician;single;university.degree;no;no;telephone;oct;thu;154;1
44;entrepreneur;married;basic.4y;yes;no;cellular;may;tue;955;1
51;blue-collar;married;high.school;yes;no;cellular;may;wed;809;1
38;management;married;university.degree;yes;no;cellular;may;fri;1276;1
59;unknown;married;unknown;no;no;telephone;jun;thu;701;1
60;retired;married;unknown;yes;no;cellular;aug;mon;600;1
33;admin.;married;university.degree;yes;no;cellular;jun;tue;690;1
23;student;single;high.school;yes;no;cellular;oct;mon;226;1
38;unemployed;married;basic.4y;no;no;cellular;jul;tue;1058;1
33;technician;married;professional.course;no;no;cellular;apr;thu;285;1
37;management;married;university.degree;yes;no;cellular;jul;fri;292;1
31;technician;married;basic.9y;no;yes;cellular;jul;thu;1319;1
36;technician;single;professional.course;no;no;cellular;jun;fri;146;1
77;management;married;unknown;yes;no;cellular;aug;fri;160;1
35;student;single;university.degree;no;no;telephone;jun;thu;618;1
40;technician;single;university.degree;no;no;cellular;nov;mon;130;1
35;services;married;professional.course;yes;no;cellular;apr;thu;218;1
54;admin.;married;university.degree;yes;yes;cellular;aug;fri;204;1
27;services;single;high.school;no;no;cellular;jul;tue;509;1
42;admin.;married;high.school;no;no;cellular;nov;mon;651;1
49;blue-collar;married;basic.9y;no;no;telephone;jun;thu;1149;1
31;student;single;university.degree;no;no;cellular;jul;fri;608;1
25;student;single;high.school;no;no;cellular;nov;thu;244;1
34;technician;married;university.degree;yes;no;cellular;nov;wed;686;1
34;technician;single;university.degree;yes;yes;cellular;aug;wed;455;1
58;unemployed;married;university.degree;yes;no;cellular;nov;thu;344;1
30;technician;single;high.school;no;no;cellular;aug;mon;638;1
57;retired;married;basic.4y;yes;yes;telephone;apr;tue;1348;1
41;entrepreneur;married;university.degree;yes;no;cellular;aug;thu;324;1
86;retired;married;unknown;yes;yes;cellular;sep;tue;211;1
41;technician;married;professional.course;yes;no;cellular;nov;mon;545;1
42;services;married;university.degree;no;no;cellular;dec;wed;179;1
31;blue-collar;single;basic.9y;no;no;telephone;jun;wed;767;1
31;admin.;married;high.school;no;no;cellular;oct;thu;142;1
33;admin.;married;university.degree;yes;no;cellular;nov;fri;482;1
45;housemaid;single;basic.4y;no;no;telephone;sep;mon;569;1
41;technician;married;high.school;no;no;cellular;aug;mon;697;1
75;retired;married;university.degree;yes;no;cellular;jul;thu;229;1
47;admin.;single;university.degree;yes;no;cellular;jun;mon;243;1
27;technician;single;university.degree;yes;no;cellular;oct;wed;184;1
30;services;single;high.school;yes;no;cellular;jun;mon;181;1
41;admin.;married;university.degree;no;no;cellular;jul;mon;1360;1
39;blue-collar;single;basic.9y;no;no;telephone;may;tue;650;1
48;admin.;divorced;university.degree;no;no;cellular;aug;thu;544;1
21;student;single;high.school;yes;yes;cellular;jun;wed;286;1
64;unknown;married;unknown;yes;no;telephone;aug;fri;239;1
56;management;married;basic.9y;yes;no;telephone;jun;tue;941;1
38;admin.;married;university.degree;yes;no;cellular;nov;tue;64;1
24;admin.;single;high.school;yes;yes;cellular;mar;wed;224;1
30;technician;single;university.degree;yes;no;cellular;sep;fri;173;1
51;blue-collar;married;basic.9y;no;yes;telephone;may;fri;653;1
54;management;married;university.degree;no;no;cellular;may;mon;397;1
26;student;single;basic.9y;yes;no;cellular;mar;mon;1447;1
33;blue-collar;married;basic.6y;yes;yes;telephone;may;fri;1132;1
51;unemployed;married;basic.6y;no;no;cellular;jun;thu;280;1
33;technician;single;professional.course;yes;no;cellular;aug;tue;396;1
25;blue-collar;single;high.school;no;no;cellular;may;fri;1068;1
38;management;married;basic.9y;no;no;telephone;may;fri;772;1
54;admin.;single;university.degree;no;no;cellular;may;mon;337;1
36;admin.;single;basic.9y;yes;no;cellular;may;tue;458;1
50;admin.;married;university.degree;no;no;cellular;aug;tue;587;1
48;admin.;married;university.degree;yes;yes;cellular;aug;wed;288;1
33;admin.;married;university.degree;yes;no;cellular;sep;thu;272;1
41;services;married;high.school;yes;no;telephone;may;mon;679;1
39;self-employed;divorced;high.school;no;no;cellular;sep;tue;261;1
52;management;married;high.school;yes;yes;cellular;aug;tue;167;1
49;blue-collar;divorced;basic.6y;no;no;cellular;jul;mon;1065;1
50;technician;married;high.school;yes;no;cellular;dec;mon;229;1
58;unknown;married;basic.9y;yes;no;cellular;dec;thu;154;1
35;admin.;married;university.degree;no;no;cellular;jun;thu;121;1
29;admin.;single;university.degree;no;no;cellular;aug;mon;716;1
29;blue-collar;divorced;high.school;no;no;cellular;may;fri;760;1
36;blue-collar;single;basic.9y;yes;yes;telephone;jun;thu;762;1
59;unemployed;married;basic.4y;yes;no;cellular;jul;thu;458;1
53;technician;married;university.degree;unknown;unknown;cellular;apr;thu;758;1
59;admin.;divorced;high.school;no;yes;cellular;jul;mon;630;1
28;management;single;university.degree;no;no;telephone;jun;thu;651;1
30;admin.;single;university.degree;no;no;cellular;nov;fri;331;1
37;admin.;single;high.school;no;no;cellular;jul;thu;609;1
55;retired;divorced;basic.4y;no;no;cellular;may;wed;526;1
36;management;married;university.degree;unknown;unknown;cellular;sep;wed;331;1
71;retired;married;high.school;no;no;cellular;sep;mon;363;1
58;admin.;single;university.degree;no;no;telephone;may;mon;1234;1
32;unemployed;married;professional.course;yes;no;telephone;nov;tue;486;1
27;admin.;single;university.degree;no;no;cellular;mar;tue;238;1
39;technician;married;high.school;no;no;cellular;nov;fri;749;1
31;admin.;single;university.degree;yes;no;cellular;jul;wed;1327;1
47;admin.;divorced;university.degree;yes;no;telephone;jun;fri;2653;1
32;admin.;single;high.school;no;no;cellular;apr;thu;1143;1
36;admin.;married;university.degree;yes;no;cellular;jul;wed;570;1
42;admin.;single;university.degree;yes;yes;telephone;may;wed;938;1
51;unemployed;married;professional.course;yes;yes;cellular;jul;thu;901;1
68;retired;married;university.degree;yes;no;cellular;jul;mon;546;1
33;blue-collar;married;basic.9y;no;no;cellular;may;fri;728;1
31;technician;married;university.degree;no;no;cellular;sep;thu;244;1
38;technician;married;university.degree;no;no;cellular;jun;wed;539;1
64;housemaid;married;unknown;yes;no;telephone;may;wed;671;1
51;blue-collar;married;basic.4y;no;yes;telephone;jun;tue;781;1
45;blue-collar;married;basic.4y;yes;no;cellular;jul;thu;367;1
54;unemployed;married;basic.9y;no;no;cellular;may;wed;193;1
54;retired;married;basic.4y;no;yes;cellular;oct;thu;164;1
78;retired;married;basic.4y;no;no;cellular;jul;mon;1148;1
27;services;single;high.school;no;no;cellular;jul;fri;423;1
38;blue-collar;single;university.degree;no;no;telephone;may;fri;894;1
32;services;married;basic.4y;no;no;cellular;jul;mon;891;1
35;admin.;married;high.school;no;no;cellular;may;fri;585;1
26;technician;single;professional.course;yes;no;cellular;sep;fri;249;1
80;retired;married;basic.4y;no;no;cellular;may;mon;382;1
32;admin.;single;university.degree;yes;no;cellular;may;wed;412;1
33;blue-collar;married;basic.6y;no;no;telephone;may;wed;1183;1
44;services;divorced;high.school;no;no;cellular;may;mon;903;1
39;admin.;divorced;university.degree;no;yes;cellular;jul;mon;375;1
44;admin.;divorced;high.school;yes;no;telephone;nov;mon;1628;1
54;retired;married;basic.4y;yes;no;cellular;apr;fri;840;1
29;blue-collar;single;basic.9y;no;yes;cellular;oct;wed;107;1
31;student;single;unknown;yes;no;cellular;aug;mon;868;1
29;admin.;married;university.degree;no;yes;cellular;jun;tue;347;1
33;blue-collar;married;basic.6y;yes;no;cellular;apr;wed;351;1
36;admin.;unknown;university.degree;yes;no;cellular;aug;wed;529;1
44;services;divorced;high.school;yes;no;cellular;may;thu;533;1
27;admin.;single;university.degree;yes;no;cellular;aug;wed;429;1
41;admin.;married;university.degree;no;no;cellular;aug;tue;766;1
29;services;single;high.school;yes;yes;cellular;jun;wed;431;1
37;technician;single;university.degree;yes;no;cellular;aug;tue;481;1
55;admin.;married;high.school;no;yes;cellular;apr;wed;307;1
50;blue-collar;married;basic.4y;no;no;cellular;jul;mon;1130;1
48;management;married;university.degree;yes;yes;cellular;nov;tue;747;1
33;blue-collar;single;high.school;no;no;cellular;may;mon;2301;1
43;technician;married;professional.course;no;no;cellular;may;thu;460;1
30;admin.;married;university.degree;yes;no;cellular;apr;tue;496;1
34;admin.;single;university.degree;yes;no;cellular;mar;tue;568;1
47;blue-collar;married;unknown;no;no;telephone;may;tue;1334;1
42;technician;married;professional.course;no;no;cellular;aug;thu;295;1
41;entrepreneur;married;university.degree;yes;no;telephone;may;wed;1138;1
33;blue-collar;married;basic.9y;yes;no;cellular;jul;wed;1019;1
51;admin.;married;university.degree;yes;no;cellular;aug;thu;212;1
36;management;divorced;university.degree;yes;no;cellular;jun;mon;422;1
86;retired;married;unknown;yes;no;cellular;sep;tue;340;1
37;technician;single;university.degree;yes;no;cellular;jun;fri;300;1
30;self-employed;married;university.degree;no;no;cellular;jun;mon;212;1
31;self-employed;single;university.degree;no;no;cellular;dec;wed;854;1
28;unemployed;single;basic.9y;no;yes;cellular;aug;tue;261;1
42;technician;married;high.school;yes;no;cellular;apr;thu;163;1
37;technician;married;university.degree;yes;no;cellular;oct;wed;364;1
32;technician;single;university.degree;no;no;telephone;may;wed;857;1
36;self-employed;single;university.degree;no;yes;cellular;jun;mon;458;1
32;unemployed;single;professional.course;yes;yes;cellular;jun;wed;310;1
76;retired;married;professional.course;yes;no;cellular;jun;tue;352;1
56;technician;divorced;university.degree;no;no;cellular;nov;fri;178;1
31;student;single;unknown;no;no;cellular;may;thu;243;1
41;admin.;married;university.degree;yes;no;cellular;nov;tue;95;1
35;admin.;married;university.degree;yes;no;cellular;apr;thu;330;1
40;unemployed;single;basic.4y;no;no;cellular;jun;tue;355;1
29;admin.;single;university.degree;no;no;cellular;jul;wed;873;1
39;admin.;married;basic.6y;no;no;cellular;jul;wed;1176;1
39;unemployed;single;university.degree;yes;no;cellular;dec;mon;387;1
30;admin.;single;university.degree;yes;no;cellular;jun;wed;617;1
39;blue-collar;married;basic.6y;yes;no;cellular;may;thu;476;1
26;admin.;married;high.school;yes;no;cellular;nov;fri;338;1
32;admin.;married;high.school;yes;no;cellular;may;mon;689;1
31;blue-collar;married;professional.course;yes;no;cellular;jul;wed;458;1
46;technician;divorced;university.degree;yes;no;cellular;nov;fri;796;1
31;technician;divorced;professional.course;yes;no;cellular;jul;wed;662;1
31;admin.;married;professional.course;no;yes;cellular;dec;mon;367;1
52;retired;married;basic.4y;no;no;telephone;jun;wed;633;1
36;blue-collar;single;basic.6y;no;no;cellular;nov;tue;238;1
57;admin.;divorced;high.school;no;no;cellular;sep;tue;473;1
32;services;single;unknown;no;yes;cellular;jul;thu;415;1
58;retired;married;basic.4y;no;no;telephone;may;tue;1045;1
28;technician;single;university.degree;yes;no;cellular;may;tue;326;1
37;admin.;single;university.degree;yes;no;cellular;apr;thu;261;1
47;admin.;married;high.school;yes;no;cellular;aug;mon;1152;1
51;admin.;married;university.degree;yes;no;cellular;jul;fri;139;1
48;management;married;basic.9y;yes;no;cellular;may;tue;725;1
30;admin.;single;university.degree;yes;no;cellular;jul;thu;873;1
50;admin.;married;university.degree;yes;no;cellular;nov;mon;183;1
57;retired;married;professional.course;yes;no;cellular;jun;mon;166;1
44;admin.;married;university.degree;yes;no;cellular;aug;thu;254;1
31;unemployed;single;university.degree;yes;no;cellular;mar;tue;180;1
39;blue-collar;married;basic.9y;no;no;telephone;may;tue;504;1
33;admin.;single;university.degree;no;no;cellular;jun;wed;206;1
30;technician;single;university.degree;yes;no;cellular;jun;fri;166;1
39;technician;married;professional.course;no;no;telephone;oct;thu;171;1
36;admin.;single;high.school;yes;no;cellular;aug;fri;159;1
21;student;single;high.school;no;no;cellular;oct;tue;362;1
31;admin.;married;high.school;no;no;telephone;jun;thu;952;1
43;technician;married;university.degree;unknown;unknown;cellular;may;tue;426;1
55;admin.;divorced;high.school;yes;no;cellular;aug;tue;244;1
38;housemaid;divorced;university.degree;no;no;cellular;nov;wed;403;1
48;blue-collar;married;basic.9y;yes;no;cellular;may;tue;268;1
53;services;married;unknown;yes;no;cellular;jun;tue;501;1
31;technician;married;professional.course;no;no;cellular;jul;thu;3643;1
27;admin.;single;high.school;no;no;cellular;jul;mon;1105;1
