VRP	VRS	PRESION	TEMP_ESC	TEMP_AMB	LN_RFC	EMPUJE
2173	20713	220	1695	90	10,28216369	5460,498654
1695	20338	200	1509	102	10,27814975	4750,06134
1682	18586	163	1662	95	10,2804846	4143,077939
1774	17751	131	1710	85	10,28878397	3744,412628
1755	19330	142	1532	101	10,31350893	3466,54547
2144	18760	208	1749	91	10,28963392	5418,409519
1517	18325	161	1675	89	10,28813752	4043,347022
2085	17544	167	1596	91	10,30172662	4386,301774
1541	20066	175	1630	87	10,28144442	4294,94691
1618	17123	151	1711	98	10,30172662	4412,698696
1507	17547	196	1693	94	10,2934667	5015,892352
1690	20305	202	1535	87	10,29116201	4537,118918
2084	19434	130	1707	101	10,30541307	3608,450238
1485	19984	164	1605	87	10,31486846	3563,200453
2289	17442	175	1623	99	10,29187432	3981,273815
2041	20399	193	1605	94	10,29937359	4549,547276
1801	20604	219	1733	88	10,29404205	6378,23977
2118	17610	152	1672	92	10,27969548	3565,931719
1614	20643	150	1746	98	10,31154929	4060,102067
2025	20600	150	1674	96	10,28646844	3989,872078
1773	19552	218	1684	96	10,27522351	5822,998505
1788	19404	167	1639	94	10,30695066	3815,823113
1766	18007	211	1737	96	10,30848589	5136,8362
2173	20184	201	1620	86	10,2900756	4317,386382
2293	18016	155	1734	85	10,30948585	3720,981235
1456	17314	185	1644	96	10,31011865	4380,646919
2103	17012	194	1611	102	10,30911931	4712,627364
1861	18037	199	1533	102	10,2896679	5303,46217
1952	20477	134	1568	100	10,31105046	3527,649015
1842	18875	154	1682	102	10,29099234	3901,27843
2225	17689	199	1679	101	10,28820559	4896,828431
2118	17155	206	1520	88	10,28766093	4621,265404
1987	20343	195	1572	92	10,278081	4430,19444
1411	17592	201	1580	100	10,28233486	4333,285987
1994	20130	216	1509	88	10,2907208	5487,340556
1539	17260	191	1670	90	10,27859654	5243,551549
1442	18270	192	1719	102	10,30848589	4924,571987
1978	17889	147	1680	97	10,30088689	3680,82206
1883	18707	211	1524	85	10,27828725	5806,544614
2288	20950	214	1652	88	10,29556342	5384,855312
1878	19939	214	1564	91	10,28476242	6308,460656
1702	19063	217	1638	86	10,29799282	5584,269882
1664	17183	218	1637	93	10,29542828	5143,631596
1644	17506	163	1723	97	10,28997369	3796,112829
