## Mean, standard deviation, standard error (sd/sqrt(n)), and number of answers to the question "How happy are you?"
## on a 0(extremely unhappy)-10(extremely happy) scale, as computed from the data table corresponding to the ESS from 2002 to 2020
## downloaded from the data portal at http://www.europeansocialsurvey.org/.
## Mathieu Kessler, Universidad Politécnica de Cartagena, July, 2023.
country;year;n;mean;sd
United Kingdom;2002;2051;7.533;1.87732439203655
United Kingdom;2004;1890;7.358;1.88669069480585
United Kingdom;2006;2393;7.425;1.96814932765289
United Kingdom;2008;2352;7.444;1.88570598734247
United Kingdom;2010;2418;7.406;1.91890829255893
United Kingdom;2012;2277;7.497;1.94918634345435
United Kingdom;2014;2264;7.602031802120143;3.637971217537726
United Kingdom;2016;1959;7.671771311893824;2.3959393799796205
United Kingdom;2018;2204;7.747731397459166;4.17967645394235
United Kingdom;2020;1149;7.3585726718885995;3.1011220936469854
