Edad,Sexo,Trabajo,Vivienda,Ahorro,Corriente,Credito,Larga duracion
24,female,1,rent,moderate,little,11590,1
23,male,2,rent,little,little,4110,1
44,male,3,rent,little,little,3384,0
23,female,1,own,little,moderate,2101,0
24,female,2,rent,little,little,1275,0
28,male,2,own,little,little,4169,1
31,male,1,own,little,moderate,1521,0
24,female,2,free,little,moderate,5743,1
26,female,1,rent,little,little,3599,1
25,male,2,rent,quite rich,moderate,3213,0
33,male,3,own,little,moderate,4439,0
37,male,1,own,little,rich,3949,0
43,female,1,own,little,moderate,1459,0
23,male,2,own,little,moderate,882,0
23,female,0,rent,quite rich,moderate,3758,1
34,male,1,own,moderate,moderate,1743,0
32,male,2,free,rich,moderate,1136,0
23,female,2,rent,little,moderate,1236,0
29,female,2,own,little,moderate,959,0
38,male,3,own,little,little,3229,0
28,male,2,rent,little,little,6199,0
46,male,2,free,quite rich,moderate,727,0
23,male,1,own,little,moderate,1246,1
49,male,2,own,little,little,2331,0
26,male,3,own,little,little,4463,1
28,male,2,own,little,little,776,0
23,female,2,rent,little,little,2406,1
61,male,2,free,little,moderate,1239,0
37,male,3,own,little,rich,3399,0
36,female,2,own,little,rich,2247,0
21,male,2,rent,little,little,1766,0
25,male,0,own,little,little,2473,0
36,male,2,own,little,little,1542,0
27,male,2,own,little,little,3850,0
22,female,2,rent,little,little,3650,0
42,male,2,own,little,little,3446,1
40,female,2,rent,little,moderate,3001,0
36,male,2,own,little,moderate,3079,1
33,male,2,own,little,moderate,6070,0
23,female,2,rent,little,moderate,2146,0
63,male,3,free,moderate,moderate,13756,1
60,female,3,free,moderate,moderate,14782,1
37,female,2,rent,little,little,7685,1
34,male,2,own,little,moderate,2320,0
36,male,2,free,little,moderate,846,0
57,male,3,free,little,moderate,14318,1
52,female,1,own,moderate,little,362,0
39,male,2,own,little,little,2212,0
38,female,3,free,little,moderate,12976,0
25,female,2,rent,little,rich,1283,1
26,male,2,own,little,rich,1330,0
26,male,1,own,moderate,moderate,4272,1
25,female,2,own,little,moderate,2238,0
21,female,2,rent,little,moderate,1126,0
40,male,3,own,little,moderate,7374,0
27,male,2,own,quite rich,moderate,2326,0
27,female,2,own,little,moderate,1449,0
30,male,3,own,little,moderate,1820,0
19,female,1,rent,rich,moderate,983,0
39,male,3,free,little,little,3249,1
31,female,2,own,little,little,1957,0
31,male,3,own,little,moderate,2406,0
32,male,2,rent,moderate,moderate,11760,1
55,female,3,free,little,little,2578,0
46,male,2,own,little,little,2348,1
46,male,2,rent,little,moderate,1223,0
43,female,1,own,rich,moderate,1516,1
39,male,2,own,little,moderate,1473,0
28,male,2,own,little,moderate,1887,0
27,male,2,own,little,moderate,8648,1
27,male,1,own,little,moderate,802,0
43,male,2,own,little,moderate,2899,0
22,male,2,own,little,moderate,2039,1
43,male,2,own,little,little,2197,1
27,male,2,own,little,little,1053,0
26,male,3,own,quite rich,rich,3235,1
28,male,2,own,quite rich,rich,939,0
20,female,2,own,little,moderate,1967,1
35,male,3,own,little,little,7253,1
42,male,3,own,little,little,2292,0
40,male,1,rent,quite rich,little,1597,0
35,female,2,own,little,little,1381,1
35,male,2,own,little,little,5842,1
33,male,1,own,little,little,2579,0
23,female,2,rent,quite rich,little,8471,0
31,female,3,own,quite rich,moderate,2782,1
33,female,2,own,rich,moderate,1042,0
20,female,2,rent,rich,moderate,3186,0
30,male,2,own,little,moderate,2028,0
47,male,1,own,little,moderate,958,0
34,male,3,own,moderate,moderate,1591,1
25,female,2,own,little,moderate,2762,0
21,male,2,rent,little,moderate,2779,0
29,male,2,own,little,little,2743,1
46,male,2,own,rich,little,1149,0
20,male,2,own,little,little,1313,0
55,female,0,free,little,little,1190,0
74,male,1,own,little,moderate,3448,0
29,male,3,own,little,moderate,11328,1
36,male,3,free,little,little,1872,0
33,male,2,own,little,little,2058,1
25,male,2,own,little,little,2136,0
25,male,2,own,quite rich,moderate,1484,0
23,male,1,rent,quite rich,little,660,0
37,female,2,own,rich,little,1287,1
65,male,0,own,little,little,3394,1
26,female,0,own,little,rich,609,0
39,male,3,own,little,little,1884,0
30,female,2,own,little,little,1620,0
29,male,2,own,little,moderate,2629,0
41,male,1,own,little,moderate,719,0
30,female,3,own,little,moderate,5096,1
41,female,1,rent,little,little,1244,0
34,female,2,own,little,little,1842,1
35,male,2,own,little,moderate,2576,0
55,female,3,own,rich,rich,1424,0
61,male,2,own,rich,moderate,1512,0
30,male,3,own,little,little,11054,1
29,female,2,own,little,little,518,0
34,male,2,own,little,little,2759,0
35,male,3,own,little,little,2670,1
31,male,2,own,little,little,4817,1
29,female,3,own,little,little,2679,1
36,male,2,rent,little,little,3905,0
35,male,2,free,little,little,3386,0
27,female,2,own,little,little,343,0
32,male,2,own,little,little,4594,0
37,male,2,own,little,little,3620,1
36,male,2,own,little,little,1721,0
34,female,3,rent,little,moderate,3017,0
38,male,2,own,little,moderate,754,0
34,male,2,own,little,little,1950,0
63,male,2,own,little,little,2924,1
29,female,1,rent,little,little,1659,1
32,male,2,own,little,moderate,7238,1
26,female,2,own,little,moderate,2764,1
35,male,1,own,little,moderate,4679,1
22,male,2,rent,moderate,moderate,3092,1
23,female,2,own,little,little,448,0
28,male,1,own,little,little,654,0
36,male,3,own,little,moderate,1238,0
33,male,2,own,little,moderate,1245,0
26,female,2,rent,little,little,3114,0
24,male,2,own,quite rich,rich,2569,1
25,male,2,own,little,rich,5152,1
39,male,1,own,moderate,moderate,1037,0
44,male,2,own,little,little,1478,0
23,female,1,own,little,moderate,3573,0
26,male,2,own,little,moderate,1201,1
57,female,2,rent,rich,little,3622,1
30,female,2,own,rich,moderate,960,0
44,male,2,own,quite rich,moderate,1163,0
47,male,3,own,little,moderate,1209,0
52,male,2,own,little,moderate,3077,0
62,female,2,free,little,moderate,3757,1
35,male,1,rent,moderate,moderate,1418,0
26,male,2,rent,little,moderate,3518,0
26,male,2,own,little,moderate,1934,0
42,female,3,free,little,moderate,8318,1
27,female,2,own,moderate,moderate,1237,0
38,male,2,own,little,moderate,368,0
39,male,1,rent,little,little,2122,0
20,male,2,own,moderate,little,2996,1
29,male,3,rent,moderate,moderate,9034,1
40,male,2,own,little,moderate,1585,1
32,male,1,own,little,moderate,1301,0
28,male,2,own,moderate,rich,1323,0
27,female,2,own,little,little,3123,1
42,male,2,free,little,little,5493,1
49,male,2,own,moderate,rich,1126,0
38,male,2,own,moderate,moderate,1216,1
24,female,2,rent,little,little,1207,1
27,male,1,own,quite rich,rich,1309,0
36,male,2,own,quite rich,rich,2360,0
34,male,3,own,moderate,moderate,6850,0
28,male,2,own,little,little,1413,1
45,male,3,own,moderate,little,8588,1
26,male,2,own,little,little,759,0
32,male,3,free,little,rich,4686,1
26,male,2,rent,little,rich,2687,0
20,male,2,rent,little,moderate,585,0
54,male,2,own,little,little,2255,1
37,female,2,own,little,little,609,0
40,male,1,own,little,little,1361,0
23,female,2,rent,little,little,7127,1
43,male,2,own,moderate,little,1203,0
36,male,2,free,little,little,700,0
44,male,2,free,little,little,5507,1
24,female,2,own,little,little,3190,0
53,male,2,free,little,little,7119,1
23,female,2,own,moderate,moderate,3488,1
26,female,1,own,little,moderate,1113,0
30,male,2,own,little,moderate,7966,1
31,female,2,own,moderate,little,1532,0
42,male,1,own,little,little,1503,0
31,male,2,rent,little,little,2302,1
41,male,1,own,little,little,662,0
32,male,2,own,little,moderate,2273,1
28,female,2,rent,moderate,moderate,2631,0
41,male,2,rent,little,rich,1503,0
26,male,2,own,moderate,rich,1311,1
25,male,2,own,little,rich,3105,1
33,male,2,rent,little,rich,2319,1
75,female,3,own,little,little,1374,0
37,female,2,own,little,moderate,3612,0
42,male,3,free,little,little,7763,1
45,female,1,own,little,rich,3049,0
23,male,2,rent,little,moderate,1534,0
60,male,2,free,little,little,2032,1
31,male,2,own,little,little,6350,1
34,male,1,own,little,rich,2864,0
61,male,1,own,little,little,1255,0
43,male,2,free,little,little,1333,1
37,female,2,own,little,little,2022,1
32,male,2,own,little,little,1552,1
24,female,1,own,little,little,626,0
35,male,2,free,quite rich,little,8858,1
23,female,2,own,quite rich,little,996,0
45,male,1,own,quite rich,little,1750,0
34,male,2,own,little,little,6999,1
27,male,2,own,moderate,moderate,1995,0
67,female,3,own,little,moderate,1199,0
22,male,2,own,little,moderate,1331,0
28,female,2,own,moderate,moderate,2278,0
29,female,2,own,little,little,5003,1
27,male,2,own,little,little,3552,1
31,male,1,own,little,moderate,1928,0
49,male,2,free,little,little,2964,1
24,male,1,rent,little,little,1546,1
29,female,2,own,little,rich,683,0
37,male,2,free,moderate,moderate,12389,1
37,male,3,own,moderate,moderate,4712,1
23,female,2,rent,moderate,moderate,1553,1
36,male,2,own,little,little,1372,0
34,male,2,own,rich,moderate,2578,1
41,male,2,own,little,moderate,3979,1
31,female,2,own,little,little,6758,1
23,female,1,rent,little,little,3234,1
38,male,2,own,little,little,5954,1
26,female,3,rent,little,little,5433,1
22,female,1,own,little,little,806,0
27,male,1,own,little,moderate,1082,0
24,female,2,own,little,moderate,2788,0
27,female,2,own,little,moderate,2930,0
33,female,2,own,little,moderate,1927,1
27,male,2,own,little,moderate,2820,1
27,male,1,own,little,moderate,937,1
30,male,2,own,little,moderate,1056,0
49,male,1,own,little,moderate,3124,0
26,female,2,rent,little,moderate,1388,0
33,male,1,rent,little,moderate,2384,1
52,female,3,free,little,little,2133,0
20,female,2,rent,little,little,2039,0
36,male,2,rent,little,little,2799,0
21,male,1,own,little,little,1289,0
47,male,1,own,little,little,1217,0
60,male,2,own,little,little,2246,0
58,female,1,own,little,little,385,0
42,female,2,rent,rich,moderate,1965,1
36,female,1,own,rich,moderate,1572,1
20,female,1,rent,little,moderate,2718,1
40,male,3,own,moderate,little,1358,1
32,female,1,own,moderate,moderate,931,0
23,female,2,rent,little,little,1442,1
36,male,1,own,little,moderate,4241,1
31,male,2,own,little,moderate,2775,0
32,male,2,free,little,moderate,3863,1
45,female,2,own,little,moderate,2329,0
30,female,2,own,little,moderate,918,0
34,female,1,free,little,moderate,1837,1
28,female,3,own,little,rich,3349,1
23,female,2,own,little,rich,1275,0
22,male,2,own,quite rich,little,2828,1
74,male,3,own,little,moderate,4526,1
50,female,2,free,moderate,moderate,2671,1
33,male,2,own,little,little,2051,0
45,male,2,free,moderate,little,1300,0
22,female,2,own,moderate,little,741,0
48,female,1,free,moderate,rich,1240,0
29,female,2,own,rich,little,3357,1
22,female,2,rent,little,little,3632,1
22,female,2,own,little,moderate,1808,0
48,male,3,own,little,moderate,12204,1
27,male,3,free,little,moderate,9157,1
37,male,2,rent,little,little,3676,0
21,female,2,rent,moderate,moderate,3441,1
49,male,1,own,little,moderate,640,0
27,male,2,own,little,moderate,3652,1
32,male,2,own,little,little,1530,0
38,male,2,own,little,little,3914,1
22,female,2,rent,little,little,1858,0
65,male,2,free,little,little,2600,0
35,male,2,own,little,rich,1979,0
41,male,2,own,little,rich,2116,0
29,male,2,own,moderate,moderate,1437,0
36,male,2,own,quite rich,little,4042,1
64,male,1,own,little,little,3832,0
28,female,2,own,little,little,3660,1
44,male,2,own,little,little,1553,0
23,male,2,own,little,moderate,1444,0
19,female,2,rent,little,moderate,1980,0
25,female,1,own,little,moderate,1355,1
47,male,2,own,little,little,1393,0
28,female,2,own,quite rich,little,1376,1
21,male,2,own,little,little,15653,1
34,female,2,own,little,little,1493,0
26,male,2,own,little,little,4370,1
27,female,0,own,little,little,750,0
38,male,1,own,little,moderate,1308,0
40,male,3,own,moderate,little,4623,0
33,male,2,own,little,little,1851,1
32,male,3,own,little,little,1880,0
27,male,2,rent,little,little,7980,1
32,male,2,own,little,little,4583,1
26,female,2,own,quite rich,rich,1386,0
38,male,2,free,little,rich,947,1
40,male,1,rent,little,little,684,0
50,male,3,free,little,little,7476,1
37,male,1,own,little,moderate,1922,0
45,male,2,own,little,little,2303,1
42,male,3,own,moderate,moderate,8086,1
35,male,2,own,little,little,2346,1
22,male,2,free,little,little,3973,0
41,male,1,own,little,moderate,888,0
37,male,2,own,little,moderate,10222,1
28,female,2,own,little,moderate,4221,1
41,male,2,own,little,moderate,6361,0
23,male,2,rent,little,rich,1297,0
23,male,2,own,little,little,900,0
50,male,2,own,little,moderate,2241,1
35,male,3,own,little,moderate,1050,0
50,female,1,own,little,rich,1047,0
27,male,3,own,little,moderate,6314,1
34,male,2,own,rich,moderate,3496,1
27,female,2,own,little,little,3609,1
43,male,2,rent,little,little,4843,0
47,male,2,own,little,rich,3017,1
27,male,1,own,moderate,moderate,4139,1
31,male,2,own,moderate,moderate,5742,1
42,male,3,own,little,moderate,10366,1
24,male,2,own,quite rich,moderate,2080,0
41,male,1,own,quite rich,moderate,2580,1
26,female,3,rent,little,moderate,4530,1
33,male,2,own,little,moderate,5150,1
24,male,2,own,moderate,moderate,5595,1
64,male,1,rent,little,little,2384,1
26,female,2,own,little,moderate,1453,0
56,female,2,own,little,moderate,1538,0
37,male,2,free,little,moderate,2279,0
33,male,2,own,little,moderate,1478,0
47,male,2,free,little,moderate,5103,1
31,male,1,own,moderate,moderate,9857,1
34,male,2,free,moderate,rich,6527,1
27,male,2,own,moderate,rich,1347,0
30,male,2,free,moderate,moderate,2862,1
35,male,2,own,moderate,little,2753,0
31,male,2,own,rich,little,3651,0
25,male,2,own,little,little,975,0
25,female,1,own,moderate,moderate,2631,0
29,male,2,own,moderate,moderate,2896,1
44,male,1,own,little,little,4716,0
28,male,2,own,little,moderate,2284,1
50,male,2,rent,quite rich,moderate,1236,0
29,male,2,own,little,moderate,1103,0
38,female,0,own,little,rich,926,0
24,male,2,own,little,rich,1800,0
40,male,3,rent,little,rich,1905,0
29,female,1,rent,quite rich,little,1123,0
46,male,2,free,little,little,6331,1
47,female,2,free,moderate,rich,1377,1
41,male,2,own,moderate,moderate,2503,1
32,female,2,own,little,moderate,2528,1
35,female,2,free,quite rich,moderate,5324,0
24,male,2,own,moderate,moderate,6560,1
25,female,2,rent,little,moderate,2969,0
25,female,2,own,little,moderate,1206,0
37,male,1,own,little,moderate,2118,0
32,male,3,own,quite rich,little,629,0
35,female,2,free,little,little,1198,0
46,male,3,own,little,little,2476,1
25,male,1,own,little,little,1138,0
27,male,3,own,little,moderate,14027,1
63,male,2,own,little,rich,7596,1
40,male,2,own,little,rich,3077,1
32,male,3,free,little,rich,1505,0
31,male,2,own,moderate,rich,3148,1
31,male,2,own,moderate,moderate,6148,0
34,male,3,own,little,rich,1337,0
24,female,2,rent,rich,moderate,433,0
24,female,1,own,little,little,1228,0
66,female,1,own,quite rich,moderate,790,0
21,female,2,rent,little,little,2570,1
41,female,1,own,rich,little,250,0
47,male,1,own,quite rich,little,1316,0
25,female,2,rent,little,little,1882,0
59,female,2,rent,little,moderate,6416,1
36,male,2,own,rich,rich,1275,1
33,male,2,own,little,moderate,6403,1
21,male,1,rent,little,little,1987,1
44,female,1,own,little,moderate,760,0
28,female,2,rent,rich,moderate,2603,1
37,female,2,own,little,moderate,3380,0
29,female,0,own,little,moderate,3990,1
23,female,3,rent,little,moderate,11560,1
35,male,1,own,moderate,little,4380,0
45,male,3,own,little,moderate,6761,0
26,female,1,rent,moderate,moderate,4280,1
32,male,2,own,moderate,little,2325,1
23,male,1,own,little,moderate,1048,0
41,male,2,own,quite rich,little,3160,1
22,male,2,own,quite rich,little,2483,1
